Site,Analyte,Sample.Date,ppt,lab.qual
City.of.Raeford,PFNS,9/16/2019,,170
City.of.Raeford,PFOA,9/16/2019,,170
City.of.High.Point.Eastside.WWTP,PFOA,9/16/2019,6.8,
City.of.Raeford,PFOS,9/16/2019,124,
City.of.High.Point.Eastside.WWTP,PFOS,9/16/2019,12.1,
City.of.High.Point.Eastside.WWTP,PFOSA,9/16/2019,,2.57
City.of.Raeford,PFOSA,9/16/2019,,170
City.of.High.Point.Eastside.WWTP,PFPeA,9/16/2019,55,
City.of.Raeford,PFPeA,9/16/2019,10.3,
City.of.High.Point.Eastside.WWTP,PFPeS,9/16/2019,,1.7
City.of.Raeford,PFPeS,9/16/2019,4.67,
City.of.High.Point.Eastside.WWTP,PFTeA,9/16/2019,,1.7
City.of.Raeford,PFTeA,9/16/2019,,170
City.of.High.Point.Eastside.WWTP,PFTriA,9/16/2019,,1.7
City.of.Raeford,PFTriA,9/16/2019,,170
City.of.High.Point.Eastside.WWTP,PFUnA,9/16/2019,,1.7
City.of.Raeford,PFUnA,9/16/2019,,170
City.of.Reidsville,N.EtFOSAA,9/11/2019,,1.69
Town.of.Holly.Springs,N.EtFOSAA,9/11/2019,,10
City.of.Reidsville,N.MeFOSAA,9/11/2019,,1.69
Town.of.Holly.Springs,N.MeFOSAA,9/11/2019,,10
Town.of.Holly.Springs,HFPO.DA,9/11/2019,,10
City.of.Reidsville,PFBA,9/11/2019,,1.69
Town.of.Holly.Springs,PFBA,9/11/2019,8,
City.of.Reidsville,PFBS,9/11/2019,,1.69
Town.of.Holly.Springs,PFBS,9/11/2019,6,
Town.of.Holly.Springs,PFDA,9/11/2019,,5.1
City.of.Reidsville,PFDA,9/11/2019,5.16,
City.of.Reidsville,PFDoA,9/11/2019,,1.69
Town.of.Holly.Springs,PFDoA,9/11/2019,,5.1
City.of.Reidsville,PFDS,9/11/2019,,1.69
Town.of.Holly.Springs,PFDS,9/11/2019,4.9,
Town.of.Holly.Springs,PFHpA,9/11/2019,27,
City.of.Reidsville,PFHpA,9/11/2019,10.6,
City.of.Reidsville,PFHpS,9/11/2019,,1.69
Town.of.Holly.Springs,PFHxA,9/11/2019,37,
City.of.Reidsville,PFHxA,9/11/2019,41.1,
Town.of.Holly.Springs,PFHxDA,9/11/2019,,5.1
City.of.Reidsville,PFHxS,9/11/2019,,1.69
Town.of.Holly.Springs,PFHxS,9/11/2019,,4.8
Town.of.Holly.Springs,PFNA,9/11/2019,,5.1
City.of.Reidsville,PFNA,9/11/2019,2.27,
City.of.Reidsville,PFNS,9/11/2019,,1.69
Town.of.Holly.Springs,PFOA,9/11/2019,10,
City.of.Reidsville,PFOA,9/11/2019,16.7,
Town.of.Holly.Springs,PFODA,9/11/2019,,5.1
Town.of.Holly.Springs,PFOS,9/11/2019,7.6,
City.of.Reidsville,PFOS,9/11/2019,11.3,
City.of.Reidsville,PFOSA,9/11/2019,,2.56
City.of.Reidsville,PFPeA,9/11/2019,,1.69
Town.of.Holly.Springs,PFPeA,9/11/2019,31,
City.of.Reidsville,PFPeS,9/11/2019,,1.69
Town.of.Holly.Springs,PFPrOPrA,9/11/2019,,10
City.of.Reidsville,PFTeA,9/11/2019,,1.69
Town.of.Holly.Springs,PFTeA,9/11/2019,,5.1
City.of.Reidsville,PFTriA,9/11/2019,,1.69
Town.of.Holly.Springs,PFTriA,9/11/2019,,5.1
City.of.Reidsville,PFUnA,9/11/2019,,1.69
Town.of.Holly.Springs,PFUnA,9/11/2019,,5.1
City.of.Mebane.WWTP,N.EtFOSAA,9/10/2019,,5.31
City.of.Mebane.WWTP,N.MeFOSAA,9/10/2019,,5.31
City.of.Mebane.WWTP,PFBA,9/10/2019,,5.31
City.of.Mebane.WWTP,PFBS,9/10/2019,,5.31
City.of.Mebane.WWTP,PFDA,9/10/2019,,5.31
City.of.Mebane.WWTP,PFDoA,9/10/2019,,5.31
City.of.Mebane.WWTP,PFDS,9/10/2019,,5.31
City.of.Mebane.WWTP,PFHpA,9/10/2019,6.86,
City.of.Mebane.WWTP,PFHpS,9/10/2019,,5.31
City.of.Mebane.WWTP,PFHxA,9/10/2019,28,
City.of.Mebane.WWTP,PFHxS,9/10/2019,,5.31
City.of.Mebane.WWTP,PFNA,9/10/2019,,5.31
City.of.Mebane.WWTP,PFNS,9/10/2019,,5.31
City.of.Mebane.WWTP,PFOA,9/10/2019,17.1,
City.of.Mebane.WWTP,PFOS,9/10/2019,14.6,
City.of.Mebane.WWTP,PFOSA,9/10/2019,,5.31
City.of.Mebane.WWTP,PFPeA,9/10/2019,284,
City.of.Mebane.WWTP,PFPeS,9/10/2019,,5.31
City.of.Mebane.WWTP,PFTeA,9/10/2019,,5.31
City.of.Mebane.WWTP,PFTriA,9/10/2019,,5.31
City.of.Mebane.WWTP,PFUnA,9/10/2019,,5.31
Wilmington-James.A.Loughlin(Northside.WWTP,4.2,9/9/2019,,87.3
Wilmington-M'Kean.Maffitt(Southside.WWTP,4.2,9/9/2019,,333
Wilmington-M'Kean.Maffitt(Southside.WWTP,6.2,9/9/2019,,84.1
Wilmington-James.A.Loughlin(Northside.WWTP,6.2,9/9/2019,,88.2
Wilmington-James.A.Loughlin(Northside.WWTP,8.2,9/9/2019,,17.8
Wilmington-M'Kean.Maffitt(Southside.WWTP,8.2,9/9/2019,,85
Wilmington-M'Kean.Maffitt(Southside.WWTP,10.2,9/9/2019,,3.4
Wilmington-James.A.Loughlin(Northside.WWTP,10.2,9/9/2019,,3.57
Wilmington-M'Kean.Maffitt(Southside.WWTP,ADONA,9/9/2019,,1.77
Wilmington-James.A.Loughlin(Northside.WWTP,ADONA,9/9/2019,,1.86
City.of.Durham-South.Durham.Water.Reclamation,HFPO.DA,9/9/2019,,
Wilmington-M'Kean.Maffitt(Southside.WWTP,N.EtFOSA,9/9/2019,,3.54
Wilmington-James.A.Loughlin(Northside.WWTP,N.EtFOSA,9/9/2019,,3.72
Cit.of.Clinton-Norman.H.Larkins.WWTP,N.EtFOSAA,9/9/2019,,1.34
Durham.County.Triangle.Wastewater.Treatment.Plant,N.EtFOSAA,9/9/2019,,1.89
Wilmington-M'Kean.Maffitt(Southside.WWTP,N.EtFOSAA,9/9/2019,,3.54
Wilmington-James.A.Loughlin(Northside.WWTP,N.EtFOSAA,9/9/2019,,3.72
City.of.Durham-South.Durham.Water.Reclamation,N.EtFOSAA,9/9/2019,,4.87
Cit.of.Clinton-Norman.H.Larkins.WWTP,N.MeFOSAA,9/9/2019,,1.34
Durham.County.Triangle.Wastewater.Treatment.Plant,N.MeFOSAA,9/9/2019,,1.89
City.of.Durham-South.Durham.Water.Reclamation,N.MeFOSAA,9/9/2019,,4.87
Wilmington-M'Kean.Maffitt(Southside.WWTP,N.MeFOSAA,9/9/2019,,17.7
Wilmington-James.A.Loughlin(Northside.WWTP,N.MeFOSAA,9/9/2019,,
Wilmington-M'Kean.Maffitt(Southside.WWTP,Nafion.Byproduct.1,9/9/2019,,3.54
Wilmington-James.A.Loughlin(Northside.WWTP,Nafion.Byproduct.1,9/9/2019,,3.72
Wilmington-James.A.Loughlin(Northside.WWTP,Nafion.Byproduct.2,9/9/2019,1.88,
Wilmington-M'Kean.Maffitt(Southside.WWTP,Nafion.Byproduct.2,9/9/2019,2.48,
Wilmington-M'Kean.Maffitt(Southside.WWTP,N.EtFOSE,9/9/2019,,1.77
Wilmington-James.A.Loughlin(Northside.WWTP,N.EtFOSE,9/9/2019,,1.86
Wilmington-M'Kean.Maffitt(Southside.WWTP,N.MeFOSA,9/9/2019,,17.7
Wilmington-James.A.Loughlin(Northside.WWTP,N.MeFOSA,9/9/2019,,18.6
Wilmington-M'Kean.Maffitt(Southside.WWTP,N.MeFOSE,9/9/2019,,8.86
Wilmington-James.A.Loughlin(Northside.WWTP,N.MeFOSE,9/9/2019,,9.29
Wilmington-M'Kean.Maffitt(Southside.WWTP,PF3ONS,9/9/2019,,1.65
Wilmington-James.A.Loughlin(Northside.WWTP,PF3ONS,9/9/2019,,1.73
Wilmington-M'Kean.Maffitt(Southside.WWTP,PF3OUdS,9/9/2019,,3.34
Wilmington-James.A.Loughlin(Northside.WWTP,PF3OUdS,9/9/2019,,3.5
Cit.of.Clinton-Norman.H.Larkins.WWTP,PFBA,9/9/2019,,1.34
City.of.Durham-South.Durham.Water.Reclamation,PFBA,9/9/2019,,4.87
Wilmington-James.A.Loughlin(Northside.WWTP,PFBA,9/9/2019,9.73,
Wilmington-M'Kean.Maffitt(Southside.WWTP,PFBA,9/9/2019,15,
Durham.County.Triangle.Wastewater.Treatment.Plant,PFBA,9/9/2019,44.8,
Cit.of.Clinton-Norman.H.Larkins.WWTP,PFBS,9/9/2019,,1.34
Durham.County.Triangle.Wastewater.Treatment.Plant,PFBS,9/9/2019,,1.89
City.of.Durham-South.Durham.Water.Reclamation,PFBS,9/9/2019,,4.87
Wilmington-James.A.Loughlin(Northside.WWTP,PFBS,9/9/2019,11,
Wilmington-M'Kean.Maffitt(Southside.WWTP,PFBS,9/9/2019,9.18,
City.of.Durham-South.Durham.Water.Reclamation,PFDA,9/9/2019,,0.422
Wilmington-M'Kean.Maffitt(Southside.WWTP,PFDA,9/9/2019,,1.77
Durham.County.Triangle.Wastewater.Treatment.Plant,PFDA,9/9/2019,,1.89
Wilmington-James.A.Loughlin(Northside.WWTP,PFDA,9/9/2019,1.64,
Cit.of.Clinton-Norman.H.Larkins.WWTP,PFDA,9/9/2019,0.452,
Cit.of.Clinton-Norman.H.Larkins.WWTP,PFDoA,9/9/2019,,1.34
Wilmington-M'Kean.Maffitt(Southside.WWTP,PFDoA,9/9/2019,,1.77
Wilmington-James.A.Loughlin(Northside.WWTP,PFDoA,9/9/2019,,1.86
Durham.County.Triangle.Wastewater.Treatment.Plant,PFDoA,9/9/2019,,1.89
City.of.Durham-South.Durham.Water.Reclamation,PFDoA,9/9/2019,,4.87
Cit.of.Clinton-Norman.H.Larkins.WWTP,PFDS,9/9/2019,,1.34
Wilmington-M'Kean.Maffitt(Southside.WWTP,PFDS,9/9/2019,,1.72
Wilmington-James.A.Loughlin(Northside.WWTP,PFDS,9/9/2019,,1.8
Durham.County.Triangle.Wastewater.Treatment.Plant,PFDS,9/9/2019,,1.89
City.of.Durham-South.Durham.Water.Reclamation,PFDS,9/9/2019,,4.87
Wilmington-M'Kean.Maffitt(Southside.WWTP,PFECA.G,9/9/2019,,3.54
Wilmington-James.A.Loughlin(Northside.WWTP,PFECA.G,9/9/2019,,3.72
City.of.Durham-South.Durham.Water.Reclamation,PFHpA,9/9/2019,,4.87
Wilmington-James.A.Loughlin(Northside.WWTP,PFHpA,9/9/2019,7.69,
Wilmington-M'Kean.Maffitt(Southside.WWTP,PFHpA,9/9/2019,7.68,
Cit.of.Clinton-Norman.H.Larkins.WWTP,PFHpA,9/9/2019,4.01,
Durham.County.Triangle.Wastewater.Treatment.Plant,PFHpA,9/9/2019,1.99,
Cit.of.Clinton-Norman.H.Larkins.WWTP,PFHpS,9/9/2019,,1.34
Wilmington-M'Kean.Maffitt(Southside.WWTP,PFHpS,9/9/2019,,1.68
Wilmington-James.A.Loughlin(Northside.WWTP,PFHpS,9/9/2019,,1.76
Durham.County.Triangle.Wastewater.Treatment.Plant,PFHpS,9/9/2019,,1.89
City.of.Durham-South.Durham.Water.Reclamation,PFHpS,9/9/2019,,4.87
