"lat","long","Site","Sample.Date","PFBA","PFBS","PFDS","PFDA","PFDoA","PFHpS","PFHpA","PFHxS","PFHxA","PFNS","PFNA","PFOSA","N.EtFOSAA","N.MeFOSAA","PFPeS","PFPeA","PFTeA","PFTriA","PFUnA","HFPO.DA","PFOA","PFOS","PFBA.lab","PFBS.lab","PFDS.lab","PFDA.lab","PFDoA.lab","PFHpS.lab","PFHpA.lab","PFHxS.lab","PFHxA.lab","PFNS.lab","PFNA.lab","PFOSA.lab","N.EtFOSAA.lab","N.MeFOSAA.lab","PFPeS.lab","PFPeA.lab","PFTeA.lab","PFTriA.lab","PFUnA.lab","HFPO.DA.lab","PFOA.lab","PFOS.lab","sum_pfas","sum_pfoa.pfos"
36.04983302,-79.37369128,"City.of.Graham","8/22/2019",NA,NA,NA,1.44,0.726,NA,4.28,0.144,11.8,NA,1.62,NA,NA,NA,NA,NA,2.82,2.02,NA,NA,8.97,12.8,1.25,1.25,1.25,NA,NA,1.25,NA,NA,NA,1.25,NA,1.25,1.25,1.25,1.25,1.25,NA,NA,1.25,43.8,NA,NA,46.62,21.77
34.27175034,-78.0055035,"Northeast.Brunswick.Regional","8/8/2019",NA,NA,NA,1.8,0.196,NA,8.15,NA,19.9,NA,0.871,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,11.3,1.41,1.41,1.41,NA,NA,1.41,NA,"1.41",NA,1.41,NA,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,49.31,NA,NA,52.217,21.3
34.26246994,-77.92142112,"Wilmington-James.A.Loughlin(Northside).WWTP","8/5/2019",NA,6.23,NA,0.973,NA,NA,4.96,3.69,14.2,NA,0.861,NA,NA,NA,NA,15.9,NA,NA,NA,NA,7.46,9.29,9.37,NA,1.82,NA,1.87,1.78,NA,NA,NA,1.8,NA,8.71,3.75,18.7,1.76,NA,9.37,9.37,1.87,NA,NA,NA,63.564,16.75
34.16600449,-77.94528851,"Wilmington-M'Kean.Maffitt(Southside).WWTP","8/5/2019",NA,6.4,NA,NA,NA,NA,5.89,3.6,14.8,NA,0.952,NA,NA,NA,NA,17.3,NA,NA,NA,NA,6.5,8.53,1.89,NA,1.83,1.89,1.89,1.79,NA,NA,NA,1.81,NA,8.77,3.77,18.9,1.77,NA,9.43,9.43,1.89,NA,NA,NA,63.972,15.03
36.08862094,-79.28544925,"City.of.Mebane.WWTP","8/13/2019",NA,NA,NA,7.64,NA,NA,7.73,NA,29.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.3,6.97,5.38,5.38,5.38,NA,5.38,5.38,NA,"5.38",NA,5.38,5.38,5.38,5.38,5.38,5.38,5.38,5.38,5.38,5.38,NA,NA,NA,76.04,31.27
35.8802467,-78.8932025,"Durham.County.Triangle.Wastewater.Treatment.Plant","8/5/2019",50.2,NA,2.62,NA,NA,NA,1.34,NA,7.63,NA,NA,NA,0.964,NA,NA,NA,1.45,1.98,NA,NA,5.74,7.19,NA,NA,10.8,NA,10.8,10.8,10.8,NA,10.8,NA,10.8,10.8,10.8,NA,10.8,10.8,10.8,NA,NA,10.8,NA,NA,79.114,12.93
34.81715622,-78.00565245,"Town.of.Rose.Hill.WWTP","8/14/2019",8.37,2.6,NA,NA,NA,NA,40.7,2,10.4,NA,2.08,NA,NA,NA,NA,6.1,NA,NA,NA,NA,6,11,NA,NA,2.58,2.66,2.66,2.53,NA,NA,NA,2.55,NA,2.47,5.32,5.32,2.5,NA,13.3,13.3,2.66,NA,NA,NA,89.25,17
35.94262001,-79.90908086,"City.of.High.Point.Eastside.WWTP","8/13/2019",NA,NA,NA,NA,NA,NA,NA,13.4,NA,NA,NA,NA,NA,NA,60.8,NA,NA,NA,NA,NA,NA,15.4,NA,10.8,10.8,10.8,10.8,10.8,NA,"10.8",NA,10.8,10.8,10.8,10.8,10.8,10.8,NA,10.8,10.8,10.8,NA,10.8,NA,89.6,15.4
35.64598133,-78.85109368,"Town.of.Holly.Springs","8/13/2019",NA,NA,NA,NA,NA,21,NA,27,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,10,12,8.2,7.2,7.9,8.2,8.2,NA,7.7,NA,8.2,16,16,NA,8.2,8.2,8.2,16,16,8.2,8.2,NA,NA,NA,91,22
35.05953494,-78.86003082,"Fayetteville-Cross.Creek.WWTP","8/27/2019",1.58,4.32,NA,0.51,NA,0.36,8.13,12.85,15.6,NA,0.65,NA,NA,NA,0.95,20.65,NA,NA,NA,NA,9.21,22.3,NA,NA,11.3,NA,11.3,NA,NA,NA,NA,11.3,NA,11.3,11.3,11.3,NA,NA,11.3,11.3,11.3,NA,NA,NA,97.11,31.51
