"Site","Sample.Date","Analyte","ppt","lab.qual","chain.length","lat","long"
"MORGANCRKATSR1726NRFARRINGTON",2018-05-09,"NMeFOSAA",NA,81,"long",NA,NA
"MORGANCRKATSR1726NRFARRINGTON",2018-05-09,"PFDoA",NA,81,"long",NA,NA
"MORGANCRKATSR1726NRFARRINGTON",2018-05-09,"PFHxA",NA,81,"short",NA,NA
"HAWRIVBELOWJORDANDAMNRMONCURE",2018-02-21,"NMeFOSAA",NA,81,"long",NA,NA
"HAWRIVBELOWJORDANDAMNRMONCURE",2018-04-11,"PFTriA",NA,81,"long",NA,NA
"JORDANLAKEATMOUTHOFNEWHOPECREEK",2018-02-21,"NMeFOSAA",NA,81,"long",NA,NA
"JORDANLAKEATMOUTHOFMORGANCKNRFARRINGTON",2018-06-13,"6.2",NA,81,"short",NA,NA
"JORDANLAKEATMOUTHOFMORGANCKNRFARRINGTON",2018-06-13,"8.2",NA,81,"long",NA,NA
"RandlemanLakeatWaterIntake",2018-07-10,"NMeFOSAA",NA,81,"long",NA,NA
"RandlemanLakeatWaterIntake",2018-07-10,"PFBA",NA,81,"short",NA,NA
"RandlemanLakeatWaterIntake",2018-07-10,"PFTriA",NA,81,"long",NA,NA
"FlatRiver@SR1004",2018-07-26,"NMeFOSAA",NA,81,"long",NA,NA
"FlatRiver@SR1004",2018-07-26,"PFDA",NA,81,"long",NA,NA
"KnapofReedsCreek",2018-10-25,"8.2",NA,81,"long",NA,NA
"FallsLake@MthLittleLickCreeknearMarker#13",2018-07-26,"NMeFOSAA",NA,81,"long",NA,NA
"FallsLake@MthLittleLickCreeknearMarker#13",2018-07-26,"PFDA",NA,81,"long",NA,NA
"FallsLake@MouthLedgeCreeknearCreedmoorNC",2018-11-30,"8.2",NA,81,"long",NA,NA
"FallsLake@Marker#1nearBayleafNC",2018-11-30,"8.2",NA,81,"long",NA,NA
"FlatRiver@SR1004",2018-12-17,"8.2",NA,80,"long",NA,NA
"EllerbeCreek@SR1636",2018-12-17,"8.2",NA,80,"long",NA,NA
"FallsLake@MthLittleLickCreeknearMarker#13",2018-12-17,"8.2",NA,80,"long",NA,NA
"FallsLake@MouthLedgeCreeknearCreedmoorNC",2018-12-17,"8.2",NA,80,"long",NA,NA
"FallsLake@Marker#1nearBayleafNC",2018-12-17,"8.2",NA,80,"long",NA,NA
"FlatRiver@SR1004",2018-12-17,"PFUnA",NA,80,"long",NA,NA
"EllerbeCreek@SR1636",2018-12-17,"PFUnA",NA,80,"long",NA,NA
"FallsLake@MthLittleLickCreeknearMarker#13",2018-12-17,"PFUnA",NA,80,"long",NA,NA
"FallsLake@MouthLedgeCreeknearCreedmoorNC",2018-12-17,"PFUnA",NA,80,"long",NA,NA
"FallsLake@Marker#1nearBayleafNC",2018-12-17,"PFUnA",NA,80,"long",NA,NA
"CaneCreekReservoiratDamnrOaks,NC",2018-05-03,"PFTriA",NA,80,"long",NA,NA
"JORDANLAKEABOVESTINKINGCREEKNRPITTSBORONC",2018-02-21,"PFTriA",NA,80,"long",NA,NA
"CaneCreekReservoiratDamnrOaks,NC",2018-05-03,"PFUnA",NA,80,"long",NA,NA
"KnapofReedsCreek",2018-08-16,"PFTriA",NA,80,"long",NA,NA
"FallsLake@MthLittleLickCreeknearMarker#13",2018-08-16,"PFTriA",NA,80,"long",NA,NA
"FallsLake@MouthLedgeCreeknearCreedmoorNC",2018-08-16,"PFTriA",NA,80,"long",NA,NA
"FallsLake@Marker#1nearBayleafNC",2018-08-16,"PFTriA",NA,80,"long",NA,NA
"JORDANLAKEATMOUTHOFNEWHOPECREEK",2018-05-09,"8.2",NA,80,"long",NA,NA
"NORTHEASTCRKATSR1100NRNELSON",2018-05-09,"8.2",NA,80,"long",NA,NA
"HAWRIVBELOWJORDANDAMNRMONCURE",2018-05-09,"8.2",NA,80,"long",NA,NA
"KnapofReedsCreek",2018-08-16,"NMeFOSAA",NA,80,"long",NA,NA
"KnapofReedsCreek",2018-08-16,"PFBA",NA,80,"short",NA,NA
