Type,Site,Analyte,Sample.Date,ppt,lab.qual,limit
WWTP,Town.of.Ramseur.WWTP,PFBA,7/8/2019,,U,0.311
WWTP,Town.of.Ramseur.WWTP,PFBS,7/8/2019,,U,0.311
WWTP,Town.of.Ramseur.WWTP,PFDS,7/8/2019,,U,0.311
WWTP,Town.of.Ramseur.WWTP,PFDA,7/8/2019,0.586,,
WWTP,Town.of.Ramseur.WWTP,PFDoA,7/8/2019,,U,0.311
WWTP,Town.of.Ramseur.WWTP,PFHpS,7/8/2019,,U,0.311
WWTP,Town.of.Ramseur.WWTP,PFHpA,7/8/2019,1.24,,
WWTP,Town.of.Ramseur.WWTP,PFHxS,7/8/2019,,U,0.311
WWTP,Town.of.Ramseur.WWTP,PFHxA,7/8/2019,6.97,,
WWTP,Town.of.Ramseur.WWTP,PFNS,7/8/2019,,U,0.31
WWTP,Town.of.Ramseur.WWTP,PFNA,7/8/2019,0.782,,
WWTP,Town.of.Ramseur.WWTP,PFOSA,7/8/2019,,U,0.316
WWTP,Town.of.Ramseur.WWTP,N-EtFOSAA,7/8/2019,,U,0.311
WWTP,Town.of.Ramseur.WWTP,N-MeFOSAA,7/8/2019,,U,0.311
WWTP,Town.of.Ramseur.WWTP,PFPeS,7/8/2019,,U,0.311
WWTP,Town.of.Ramseur.WWTP,PFPeA,7/8/2019,41.8,,
WWTP,Town.of.Ramseur.WWTP,PFTeA (PFTA),7/8/2019,0.761,,
WWTP,Town.of.Ramseur.WWTP,PFTriA (PFTrA),7/8/2019,,U,0.311
WWTP,Town.of.Ramseur.WWTP,PFUnA,7/8/2019,,U,0.311
WWTP,Town.of.Ramseur.WWTP,HFPO-DA,7/8/2019,,U,10.9
WWTP,Town.of.Ramseur.WWTP,4:2 FTS,7/8/2019,,U,0.311
WWTP,Town.of.Ramseur.WWTP,6:2 FTS,7/8/2019,,U,0.311
WWTP,Town.of.Ramseur.WWTP,8:2 FTS,7/8/2019,,U,0.311
WWTP,Town.of.Ramseur.WWTP,PFOA,7/8/2019,2.93,,
WWTP,Town.of.Ramseur.WWTP,PFOS,7/8/2019,6.52,,
WWTP,Town.of.Ramseur.WWTP,Sum(PFOA+PFOS),7/8/2019,9.45,,
WWTP,Town.of.Ramseur.WWTP,Total.PFAS,7/8/2019,61.589,,
WWTP,Sanford-Big.Buffalo.Creek.WWTP,PFBA,7/8/2019,12.1,,
WWTP,Sanford-Big.Buffalo.Creek.WWTP,PFBS,7/8/2019,,U,0.316
WWTP,Sanford-Big.Buffalo.Creek.WWTP,PFDS,7/8/2019,,U,0.316
WWTP,Sanford-Big.Buffalo.Creek.WWTP,PFDA,7/8/2019,1.86,,
WWTP,Sanford-Big.Buffalo.Creek.WWTP,PFDoA,7/8/2019,,U,0.316
WWTP,Sanford-Big.Buffalo.Creek.WWTP,PFHpS,7/8/2019,,U,0.316
WWTP,Sanford-Big.Buffalo.Creek.WWTP,PFHpA,7/8/2019,18.8,,
WWTP,Sanford-Big.Buffalo.Creek.WWTP,PFHxS,7/8/2019,31.9,,
WWTP,Sanford-Big.Buffalo.Creek.WWTP,PFHxA,7/8/2019,,U,0.316
WWTP,Sanford-Big.Buffalo.Creek.WWTP,PFNS,7/8/2019,2.51,,
WWTP,Sanford-Big.Buffalo.Creek.WWTP,PFNA,7/8/2019,,U,0.316
WWTP,Sanford-Big.Buffalo.Creek.WWTP,PFOSA,7/8/2019,,U,0.32
WWTP,Sanford-Big.Buffalo.Creek.WWTP,N-EtFOSAA,7/8/2019,,U,0.316
WWTP,Sanford-Big.Buffalo.Creek.WWTP,N-MeFOSAA,7/8/2019,,U,0.316
WWTP,Sanford-Big.Buffalo.Creek.WWTP,PFPeS,7/8/2019,,U,0.316
WWTP,Sanford-Big.Buffalo.Creek.WWTP,PFPeA,7/8/2019,50.8,,
WWTP,Sanford-Big.Buffalo.Creek.WWTP,PFTeA,7/8/2019,,U,0.316
WWTP,Sanford-Big.Buffalo.Creek.WWTP,PFTriA,7/8/2019,,U,0.316
WWTP,Sanford-Big.Buffalo.Creek.WWTP,PFUnA,7/8/2019,,U,0.316
WWTP,Sanford-Big.Buffalo.Creek.WWTP,HFPO-DA,7/8/2019,,U,11.06
WWTP,Sanford-Big.Buffalo.Creek.WWTP,4:2 FTS,7/8/2019,,U,0.316
WWTP,Sanford-Big.Buffalo.Creek.WWTP,6:2 FTS,7/8/2019,80,,
WWTP,Sanford-Big.Buffalo.Creek.WWTP,8:2 FTS,7/8/2019,1.78,,
WWTP,Sanford-Big.Buffalo.Creek.WWTP,PFOA,7/8/2019,11.6,,
WWTP,Sanford-Big.Buffalo.Creek.WWTP,PFOS,7/8/2019,46.3,,
WWTP,Sanford-Big.Buffalo.Creek.WWTP,Sum(PFOA+PFOS),7/8/2019,57.9,,
WWTP,Sanford-Big.Buffalo.Creek.WWTP,Total.PFAS,7/8/2019,257.65,,
WWTP,Siler.City.Waste.Water.Treatment.Plant,PFBA,7/8/2019,,U,2.52
WWTP,Siler.City.Waste.Water.Treatment.Plant,PFBS,7/8/2019,,U,2.52
WWTP,Siler.City.Waste.Water.Treatment.Plant,PFDS,7/8/2019,,U,2.52
WWTP,Siler.City.Waste.Water.Treatment.Plant,PFDA,7/8/2019,,U,2.52
WWTP,Siler.City.Waste.Water.Treatment.Plant,PFDoA,7/8/2019,,U,2.52
WWTP,Siler.City.Waste.Water.Treatment.Plant,PFHpS,7/8/2019,,U,2.52
WWTP,Siler.City.Waste.Water.Treatment.Plant,PFHpA,7/8/2019,2.1,J,
WWTP,Siler.City.Waste.Water.Treatment.Plant,PFHxS,7/8/2019,2,J,
WWTP,Siler.City.Waste.Water.Treatment.Plant,PFHxA,7/8/2019,9.94,B,
WWTP,Siler.City.Waste.Water.Treatment.Plant,PFNS,7/8/2019,,U,2.52
WWTP,Siler.City.Waste.Water.Treatment.Plant,PFNA,7/8/2019,,U,2.52
WWTP,Siler.City.Waste.Water.Treatment.Plant,PFOSA,7/8/2019,,U,2.56
WWTP,Siler.City.Waste.Water.Treatment.Plant,N-EtFOSAA,7/8/2019,,U,2.52
WWTP,Siler.City.Waste.Water.Treatment.Plant,N-MeFOSAA,7/8/2019,,U,2.52
WWTP,Siler.City.Waste.Water.Treatment.Plant,PFPeS,7/8/2019,,U,2.52
WWTP,Siler.City.Waste.Water.Treatment.Plant,PFPeA,7/8/2019,14.5,B,
WWTP,Siler.City.Waste.Water.Treatment.Plant,PFTeA,7/8/2019,,U,2.52
WWTP,Siler.City.Waste.Water.Treatment.Plant,PFTriA,7/8/2019,,U,2.52
WWTP,Siler.City.Waste.Water.Treatment.Plant,PFUnA,7/8/2019,,U,2.52
WWTP,Siler.City.Waste.Water.Treatment.Plant,PFOA,7/8/2019,5.49,,
WWTP,Siler.City.Waste.Water.Treatment.Plant,PFOS,7/8/2019,5.66,,
WWTP,Siler.City.Waste.Water.Treatment.Plant,Sum(PFOA+PFOS),7/8/2019,11.15,,
WWTP,Siler.City.Waste.Water.Treatment.Plant,Total.PFAS,7/8/2019,39.69,,
WWTP,Wilmington-James.A.Loughlin(Northside).WWTP,PFBA,7/9/2019,4.22,,
WWTP,Wilmington-James.A.Loughlin(Northside).WWTP,PFBS,7/9/2019,12.3,,
WWTP,Wilmington-James.A.Loughlin(Northside).WWTP,PFDS,7/9/2019,,U,1.73
WWTP,Wilmington-James.A.Loughlin(Northside).WWTP,PFDA,7/9/2019,1.28,J,
WWTP,Wilmington-James.A.Loughlin(Northside).WWTP,PFDoA,7/9/2019,,U,1.79
WWTP,Wilmington-James.A.Loughlin(Northside).WWTP,PFHpS,7/9/2019,,U,1.7
WWTP,Wilmington-James.A.Loughlin(Northside).WWTP,PFHpA,7/9/2019,4.79,,
WWTP,Wilmington-James.A.Loughlin(Northside).WWTP,PFHxS,7/9/2019,3.78,,
WWTP,Wilmington-James.A.Loughlin(Northside).WWTP,PFHxA,7/9/2019,14,,
WWTP,Wilmington-James.A.Loughlin(Northside).WWTP,PFNS,7/9/2019,,U,1.71
WWTP,Wilmington-James.A.Loughlin(Northside).WWTP,PFNA,7/9/2019,1.27,J,
WWTP,Wilmington-James.A.Loughlin(Northside).WWTP,PFOSA,7/9/2019,,U,1.66
WWTP,Wilmington-James.A.Loughlin(Northside).WWTP,N-EtFOSAA,7/9/2019,,U,1.68
WWTP,Wilmington-James.A.Loughlin(Northside).WWTP,N-MeFOSAA,7/9/2019,,U,17.9
WWTP,Wilmington-James.A.Loughlin(Northside).WWTP,PFPeS,7/9/2019,,U,1.68
WWTP,Wilmington-James.A.Loughlin(Northside).WWTP,PFPeA,7/9/2019,15.6,,
WWTP,Wilmington-James.A.Loughlin(Northside).WWTP,PFTeA,7/9/2019,,U,8.93
WWTP,Wilmington-James.A.Loughlin(Northside).WWTP,PFTriA,7/9/2019,,U,8.93
WWTP,Wilmington-James.A.Loughlin(Northside).WWTP,PFUnA,7/9/2019,,U,1.79
WWTP,Wilmington-James.A.Loughlin(Northside).WWTP,PF3OUdS,7/9/2019,,U,3.36
WWTP,Wilmington-James.A.Loughlin(Northside).WWTP,N-EtFOSE,7/9/2019,,U,1.79
WWTP,Wilmington-James.A.Loughlin(Northside).WWTP,N-MeFOSE,7/9/2019,,U,1.79
WWTP,Wilmington-James.A.Loughlin(Northside).WWTP,PFPrOPrA,7/9/2019,10.5,,
WWTP,Wilmington-James.A.Loughlin(Northside).WWTP,PFECA-G,7/9/2019,,UX,3.57
WWTP,Wilmington-James.A.Loughlin(Northside).WWTP,PF3ONS,7/9/2019,,U,1.66
WWTP,Wilmington-James.A.Loughlin(Northside).WWTP,10:2 FTS,7/9/2019,,U,3.43
