"Site","Sample.Date","X6.2","PFUnA","NMeFOSAA","PFDS","PFNA","PFDoA","PFDA","PFTriA","PFNS","PFBA","X8.2","X4.2","PFHxA","PFPeA","PFOS","FOSA","HFPO.DA","PFBS","PFHpA","PFHpS","PFHxS","PFOA","PFPeS"
"MORGANCRKATSR1726NRFARRINGTON","2018-02-21","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"MORGANCRKATSR1726NRFARRINGTON","2018-04-11","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"MORGANCRKATSR1726NRFARRINGTON","2018-06-13","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"HAWRIVBELOWJORDANDAMNRMONCURE","2018-02-21","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","42","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"HAWRIVBELOWJORDANDAMNRMONCURE","2018-04-11","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","67","42","NA","NA","NA","NA","52","NA","NA","NA","NA"
"HAWRIVBELOWJORDANDAMNRMONCURE","2018-06-13","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"JORDANLAKEABOVESTINKINGCREEKNRPITTSBORONC","2018-02-21","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","100","56","41","NA","NA","NA","130","NA","NA","NA","NA"
"JORDANLAKEABOVESTINKINGCREEKNRPITTSBORONC","2018-06-13","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","56","59","46","NA","NA","NA","42","NA","NA","NA","NA"
"JORDANLAKEATMOUTHOFNEWHOPECREEK","2018-02-21","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"JORDANLAKEATMOUTHOFMORGANCKNRFARRINGTON","2018-06-13","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"JORDANLAKENEARFARRINGTONNC","2018-02-21","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"JORDANLAKENEARFARRINGTONNC","2018-04-11","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"JORDANLAKENEARFARRINGTONNC","2018-06-13","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"JORDANLAKEATMOUTHOFWHITEOAKCREEKNRSEAFORTH","2018-02-21","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"JORDANLAKEATMOUTHOFWHITEOAKCREEKNRSEAFORTH","2018-06-13","NA","NA","NA","NA","NA","NA","NA","NA","NA","42","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"JORDANLAKEATNARROWSNEARBONSAL","2018-02-21","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","45","98","NA","NA","NA","50","NA","NA","NA","NA"
"JORDANLAKEATNARROWSNEARBONSAL","2018-04-11","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","57","47","NA","NA","NA","NA","43","NA","NA","NA","NA"
"JORDANLAKEATNARROWSNEARBONSAL","2018-06-13","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"CarthageCityLakeatDamNRCarthage,NC","2018-06-06","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"GlenvilleLakeatDamNRFayetteville,NC","2018-06-06","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"EnoRiver@SR1004","2018-07-26","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"FlatRiver@SR1004","2018-07-26","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"KnapofReedsCreek","2018-07-26","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","57","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"EllerbeCreek@SR1636","2018-07-26","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"NeuseRiver@SR2000","2018-07-26","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"FallLake@I-85nearNorthsideNC","2018-07-26","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"FallsLake@MthLittleLickCreeknearMarker#13","2018-07-26","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"FallsLake@MouthLedgeCreeknearCreedmoorNC","2018-07-26","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"FallsLake@ChannelMarker#6nearBayleafNC","2018-07-26","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"FallsLake@Marker#1nearBayleafNC","2018-07-26","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"LakeMackintoshatDam","2018-05-03","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
