"Site","Sample.Date","4.2","6.2","8.2","HFPO.DA","N.EtFOSAA","N.MeFOSAA","Nafion.Byproduct.2","PFBA","PFBS","PFDA","PFDoA","PFDS","PFHpA","PFHpS","PFHxA","PFHxS","PFMOAA","PFMOBA","PFMOPrA","PFNA","PFNS","PFO2HxA","PFO3OA","PFO4DA","PFOA","PFOS","PFOSA","PFPeA","PFPeS","PFPrOPrA","PFTeA","PFTriA","PFUnA","PFHxDA","PFODA","10.2","ADONA","N.EtFOSA","Nafion.Byproduct.1","N.EtFOSE","N.MeFOSA","N.MeFOSE","PF3ONS","PF3OUdS","PFECA.G","TotalPFAS","SumPFOA.PFOS","short.ppt","long.ppt","Type","lat","long"
"Town.of.Holly.Springs",2019-08-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,12,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119.8,22,79.4,40.4,"WWTP",35.64598133,-78.85109368
"Cary.Western.Wake.Regional.Water.Reclamation.Facility",2019-08-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.8,0,10.4,18.4,"WWTP",35.67154993,-78.94119022
"Wallace.Regional.WWTP",2019-08-12,NA,NA,NA,NA,NA,NA,NA,NA,2.15,NA,NA,NA,0.883,NA,20.7,NA,NA,NA,NA,1.04,NA,NA,NA,NA,2.96,9.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.143,12.57,34.133,32.01,"WWTP",34.73817439,-77.99263394
"Northeast.Brunswick.Regional",2019-08-08,NA,0.738,0.513,NA,NA,NA,NA,NA,NA,1.8,0.196,NA,8.15,NA,19.9,NA,NA,NA,NA,0.871,NA,NA,NA,NA,10,11.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.017,21.3,38.45,42.567,"WWTP",34.27175034,-78.0055035
"City.of.Asheboro.WWTP",2019-08-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.6,18.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.7,29.4,23.9,47.8,"WWTP",35.76613469,-79.78579884
"Town.of.Burgaw.Collection.System",2019-08-08,NA,NA,NA,NA,NA,NA,NA,NA,1.86,NA,NA,NA,0.701,NA,18.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.45,4.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.791,5.53,31.861,23.93,"WWTP",34.55726739,-77.92518487
"Cit.of.Clinton-Norman.H.Larkins.WWTP",2019-08-07,NA,NA,NA,NA,NA,NA,NA,NA,2.6,NA,NA,NA,1.24,NA,8.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.46,2.54,NA,12.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.31,5,34.91,23.4,"WWTP",35.00515516,-78.34442384
"City.of.Reidsville",2019-08-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.4,12.2,NA,58.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145.6,28.6,98.6,47,"WWTP",36.3236797,-79.66750151
"Greensboro-TZ.Osborne.WRF",2019-08-07,NA,NA,NA,NA,NA,NA,NA,27.3,39.3,NA,NA,NA,22.3,NA,54.6,19.6,NA,NA,NA,NA,NA,NA,NA,NA,24.7,36.2,NA,66.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,319.7,60.9,220.8,98.9,"WWTP",36.09864301,-79.68893648
"Town.of.Ramseur.WWTP",2019-08-06,NA,NA,NA,NA,NA,NA,NA,NA,344,NA,NA,NA,NA,NA,4.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,45.7,NA,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,528.27,47.7,462.17,66.1,"WWTP",35.72183182,-79.65364379
